SrNo,ScriptFullName,ScriptName,Type
61,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.returnsTests.Intermix_Fulfiller_Account_SettingsTest,ReturnsTests_Intermix_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
62,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.returnsTests.Modells_Fulfiller_Account_SettingsTest,ReturnsTests_Modells_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
63,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.returnsTests.Roots_Fulfiller_Account_SettingsTest,ReturnsTests_Roots_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
64,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.ISPU.Roots_Fulfiller_Account_SettingsTest,ISPU_Roots_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
65,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.pickAndPackTests.Intermix_Fulfiller_Account_SettingsTest,PickAndPackTests_Intermix_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
66,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.pickAndPackTests.Modells_Fulfiller_Account_SettingsTest,PickAndPackTests_Modells_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
67,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.pickAndPackTests.Roots_Fulfiller_Account_SettingsTest,PickAndPackTests_Roots_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
68,com.kibo.qa.selenium.fulfillerTests.fulfillerAccountSettingsTests.pickAndPackTests.CostPlus_Fulfiller_Account_SettingsTest,PickAndPackTests_CostPlus_Fulfiller_Account_SettingsTest,Fulfiller_Account_Settings_Tests
69,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.CPWM_StoreManager_LocationNetworkTest,CPWM_StoreManager_LocationNetworkTest,Location_Network_Tests
70,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.CPWM_StoreEmployee_LocationNetworkTest,CPWM_StoreEmployee_LocationNetworkTest,Location_Network_Tests
71,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.CPWM_StoreAssociate_LocationNetworkTest,CPWM_StoreAssociate_LocationNetworkTest,Location_Network_Tests
72,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Intermix_StoreManager_LocationNetworkTest,Intermix_StoreManager_LocationNetworkTest,Location_Network_Tests
73,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Intermix_StoreEmployee_LocationNetworkTest,Intermix_StoreEmployee_LocationNetworkTest,Location_Network_Tests
74,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Intermix_StoreAssociate_LocationNetworkTest,Intermix_StoreAssociate_LocationNetworkTest,Location_Network_Tests
75,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Modells_StoreManager_LocationNetworkTest,Modells_StoreManager_LocationNetworkTest,Location_Network_Tests
76,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Modells_StoreEmployee_LocationNetworkTest,Modells_StoreEmployee_LocationNetworkTest,Location_Network_Tests
77,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Modells_StoreAssociate_LocationNetworkTest,Modells_StoreAssociate_LocationNetworkTest,Location_Network_Tests
78,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Roots_StoreManager_LocationNetworkTest,Roots_StoreManager_LocationNetworkTest,Location_Network_Tests
79,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Roots_StoreEmployee_LocationNetworkTest,Roots_StoreEmployee_LocationNetworkTest,Location_Network_Tests
80,com.kibo.qa.selenium.fulfillerTests.locationNetworkTests.Roots_StoreAssociate_LocationNetworkTest,Roots_StoreAssociate_LocationNetworkTest,Location_Network_Tests
81,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.settingsTests.Roots_SettingsTest,SettingsTests_Roots_SettingsTest,PickAndPack_Setting_Tests
82,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.openWavesPageTests.Roots_OpenWavePageTest,OpenWavesPageTests_Roots_OpenWavePageTest,PickAndPack_Setting_Tests
83,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.pickWaveDetailsPageTests.Roots_PickWaveDetailsPageTest,PickWaveDetailsPageTests_Roots_PickWaveDetailsPageTest,PickAndPack_Setting_Tests
84,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.userRolesTests.Roots_UserRolesTest,UserRolesTests_Roots_UserRolesTest,PickAndPack_Setting_Tests
85,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.simpleISPUTests.Roots_SimpleISPUTest,SimpleISPUTests_Roots_SimpleISPUTest,PickAndPack_Setting_Tests
86,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.simpleSTHTests.Roots_SimpleSTHTest,SimpleSTHTests_Roots_SimpleSTHTest,PickAndPack_Setting_Tests
87,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.advancedSTHTests.Roots_AdvancedSTHTest,AdvancedSTHTests_Roots_AdvancedSTHTest,PickAndPack_Setting_Tests
88,com.kibo.qa.selenium.fulfillerTests.pickAndPackTests.advancedSTHTests.Roots_AdvancedSTHTest,AdvnacedISPUTests_Roots_AdvancedISPUTest,PickAndPack_Setting_Tests
